Column1,Cloth_Desc,Price
482,Mysterious Gal Jeans - Grey,34.99
483,Grace Super Soft Skinny Jeans - Medium Blue Wash,15.0
484,Latest And Greatest French Terry Jogger - Olive,14.0
485,Classic Button Up Skinny Jeans - Black,29.99
486,I Don't Give A Fuck Socks - White/Black,9.99
487,Shanghai Ruched Dress - White,16.0
488,Anything But Square Long Sleeve Bodysuit - Black,24.99
489,Seeing Double Belt - Black,9.99
490,Flex Game Strong Super High Rise Skinny Jeans - Black,24.99
491,Weekend Vibes Short Set - Nude,20.0
492,Posh High Waisted Dress Pants - Black,29.99
493,Chelsea Biker Short Set - Black,29.99
494,Plot Twist Heel - Red,39.99
495,Jump In The Ring Jumpsuit - Black,11.98
496,Sleek And Slay Bodysuit - White,24.99
497,Stole Your Boyfriend's Oversized Jogger - Pink,20.0
498,Sweet Dreams Mineral Wash Jogger - Charcoal,19.99
499,Let It Shine Slide - Black,19.99
500,Supernatural High Rise Jeans - Medium Blue Wash,15.0
501,Block It Out Cargo Joggers - Olive/Combo,59.99
502,Sedona High Rise Skinny Jean - Dark Wash,15.99
503,Emma Super Stretch High Rise Skinny Jean - Blue,29.99
504,Chosen One Pant Set  - Black,39.99
505,Statuesque Booty Lifting Jeans - Black,29.99
506,Happy Hour Bodysuit - Ivory,19.99
507,Start The Show Sequin Dress - Rose Gold,9.98
508,Sealed Envelope Ponte Pants - Black,12.0
509,All The Booty Ripped Skinny Jeans - Black,15.0
510,Buenos Aires PU Jumpsuit - Black,20.0
511,Fool In Love Off Shoulder Bodysuit - Mustard,8.98
512,Kalley Cargo Pants - Tan,34.99
513,Stole Your Boyfriend's Oversized Hoodie - Burgundy,22.0
514,Good Vibes Cargo Jogger - Camouflage,44.99
515,Clear The Air Pump - Clear,39.99
516,Sophie High Waist Jegging - Light Blue Wash,8.98
517,Linked Up Chain Belt - Gold,9.99
518,Canopy Jeans - Light Blue Wash,11.98
519,Hairs A Mess Head Scarf - Beige,2.98
520,Feels So Classic Faux Leather Jumpsuit - Black,20.0
521,Eva Super Soft Curvy Skinny Jean - Indigo,20.0
522,Found The Right One Faux Leather Leggings - Black,24.99
523,Falls Favorite Girl Sweater II - Mustard,10.0
524,See Ya On The Flip Side Skinny Jeans - Black,39.99
525,Simple Perfection Twist Back Top - White,12.0
526,Weekend Vibes Camo Legging Set - Brown/combo,25.0
527,Classic Seamless Biker Short - Black,9.99
528,Mind Of My Own Maxi Dress - Brown/combo,39.99
529,Raining Daisies Mesh Top - Black,34.99
530,Casual Lover Skirt - Black,24.99
531,Feeling Fancy Collar Jacket - Black,39.99
532,Sugar Free Dress - Blush,44.99
533,Call It Even Wide Leg Dress Pants - Black,22.0
534,Alexa High Rise Booty Lifter Skinny Jeans - Dark Denim,24.99
535,My Favorite Biker Short - Charcoal,6.0
536,Relaxed Vibe Joggers - Navy,14.0
537,Be There Or Be Square Sunglasses - Black,9.99
538,Falling For Your Charm Jumpsuit - Red,39.99
539,Bold Statement Skinny Jeans - Medium Denim,9.98
540,Swing My Way High Rise Skinny Jeans - Dark Denim,34.99
541,Main Squeeze High Rise Distressed Jeans - Medium Blue Wash,9.98
542,Ezra Skinny Jeans - Medium Blue,24.99
543,Rhianna Tube Dress - Mustard,10.0
544,Wrong Way Sweater Pant Set - Black,49.99
545,Hillcrest Biker Shorts - Black,33.99
546,Weekend Vibes Legging Set - Charcoal,25.0
547,Louise V Neck Bodysuit - White,29.99
548,Rest And Play Pant Set - Olive,44.99
549,Spotless Mind Top - Coco,17.99
550,Eva Super Soft Curvy Skinny Jean - Dark,20.0
551,Grind Time Beyond Long Sleeve Bodysuit - White,29.99
552,Teenage Fever Jeans - Dark,7.98
